"Public Marina Slips per 10,000 Residents",,,
2013,,,
City,Population,Marina Slips,"Slips per 10,000 Residents"
Long Beach,"467,892","3,677",78.6
San Diego,"1,338,348","7,944",59.4
St. Petersburg,"246,541",662,26.9
Nashville/Davidson,"648,295","1,737",26.8
Cleveland,"390,928",952,24.4
Oklahoma City,"599,199","1,381",23.0
Minneapolis,"392,880",808,20.6
Jersey City,"254,441",520,20.4
Chicago,"2,714,856","5,088",18.7
"Washington, D.C.","632,323","1,008",15.9
Milwaukee,"598,916",896,15.0
Garland,"233,564",338,14.5
Sacramento,"475,516",553,11.6
Corpus Christi,"312,195",358,11.5
Los Angeles,"3,857,799","3,500",9.1
San Francisco,"825,863",709,8.6
Omaha,"421,570",357,8.5
"St. Paul, Minnesota","290,770",225,7.7
Detroit,"701,475",421,6.0
Columbus,"809,798",338,4.2
Kansas City,"464,310",180,3.9
New York,"8,336,697","3,077",3.7
Memphis,"655,155",180,2.7
Miami,"413,892",113,2.7
Stockton,"297,984",66,2.2
Seattle,"634,535",139,2.2
Indianapolis,"834,852",178,2.1
Norfolk,"245,782",51,2.1
Tampa,"347,645",47,1.4
Madison,"240,323",32,1.3
Greensboro,"277,080",31,1.1
Virginia Beach,"447,021",50,1.1
Jacksonville,"836,507",77,0.9
Winston-Salem,"234,349",16,0.7
Oakland,"400,740",26,0.6
Aurora,"339,030",19,0.6
Cincinnati,"296,550",15,0.5
Louisville/Jefferson,"750,828",35,0.5
Austin,"842,592",18,0.2
Charlotte/Mecklenburg,"969,031",19,0.2
Riverside,"313,673",6,0.2
Boston,"636,479",10,0.2
Durham,"239,358",2,0.1
Portland,"603,106",5,0.1
"Arlington, Texas","375,600",2,0.1
Denver,"634,265",3,0.0
Houston,"2,160,821",5,0.0
Atlanta,"443,775",1,0.0
San Jose,"982,765",1,0.0
Mesa,"452,084",0,0.0
Toledo,"284,012",N.A.,0.0
Phoenix,"1,488,750",0,0.0
Dallas,"1,241,162",0,0.0
Albuquerque,"555,417",0,0.0
Philadelphia,"1,547,607",0,0.0
Las Vegas,"596,424",0,0.0
New Orleans,"369,250",0,0.0
St. Louis,"318,172",0,0.0
Pittsburgh,"306,211",0,0.0
Baltimore,"621,342",0,0.0
San Antonio,"1,382,951",0,0.0
Reno,"231,027",0,0.0
El Paso,"672,538",0,0.0
Orlando,"249,562",0,0.0
Baton Rouge,"230,058",0,0.0
Laredo,"244,731",0,0.0
Lubbock,"236,065",0,0.0
North Las Vegas,"223,491",0,0.0
Chula Vista,"252,422",0,0.0
Chandler,"245,628",0,0.0
Gilbert,"221,140",0,0.0
Henderson,"265,679",0,0.0
"Arlington, Virginia","221,045",0,0.0
Irvine,"229,985",0,0.0
Irving,"225,427",0,0.0
Fremont,"221,986",0,0.0
San Bernardino,"213,295",0,0.0
Chesapeake,"228,417",0,0.0
Bakersfield,"358,597",0,0.0
Tulsa,"393,987",0,0.0
Fresno,"505,882",0,0.0
Wichita,"385,577",0,0.0
Tucson,"524,295",0,0.0
Fort Worth,"777,992",0,0.0
Raleigh,"423,179",0,0.0
Scottsdale,"223,514",0,0.0
Anaheim,"343,248",0,0.0
Colorado Springs,"431,834",0,0.0
Newark,"277,727",0,0.0
Anchorage/Anchorage Borough,"298,610",0,0.0
Buffalo,"259,384",0,0.0
Lexington/Fayette,"305,489",0,0.0
Plano,"272,068",0,0.0
Fort Wayne,"254,555",0,0.0
Glendale,"232,143",0,0.0
Lincoln,"265,404",0,0.0
Santa Ana,"330,920",0,0.0
Hialeah,"231,941",N.A.,
Honolulu,"345,610",N.A.,
,,"35,876",4.3
