Largest Park by Major City Agency,,
Agency,Largest Park,Acreage
Scottsdale Parks and Recreation Division,McDowell Sonoran Preserve,"27,765"
Phoenix Parks and Recreation Department,South Mountain Park,"16,094"
Houston Parks and Recreation Department,Cullen Park,"9,270"
San Diego Park and Recreation Department,Mission Trail,"6,932"
Louisville Metro Parks,Jefferson Memorial Forest,"6,578"
Jacksonville Recreation and Community Services Department,Cecil Field Greenway,"5,366"
Portland Parks and Recreation,Forest Park,"5,172"
Indianapolis Department of Parks and Recreation,Eagle Creek Park & Golf Course,"4,766"
Anchorage Parks and Recreation Department,Far North Bicentennial Park,"4,500"
Los Angeles Department of Recreation and Parks,Griffith Park,"4,282"
Austin Parks and Recreation Department,Walter E. Long,"3,676"
Dallas Park and Recreation Department,Mountain Creek Lake Park,"3,653"
Fort Worth Parks and Community Services Department,Fort Worth Nature Center & Refuge,"3,630"
Tulsa Park and Recreation Department,Mohawk Park,"3,100"
Nashville/Davidson Metropolitan Board of Parks and Recreation,Warner Parks,"3,033"
New York City Department of Parks and Recreation,Pelham Bay,"2,765"
"Aurora Parks, Recreation and Open Space",Aurora Reservoir,"1,861"
"Kansas City, Mo. Parks and Recreation Department",Swope Park,"1,805"
Philadelphia Parks and Recreation Department,Wissahickon Valley,"1,750"
"National Park Service (within Washington, D.C.)",Rock Creek Park,"1,748"
Cincinnati Park Board,Mt. Airy Forest,"1,582"
Winston-Salem Recreation and Parks,Salem Lake,"1,475"
Lincoln Parks and Recreation Department,Wilderness Park,"1,472"
"Omaha Department of Parks, Recreation and Public Property",Glenn Cunningham Lake,"1,439"
Virginia Beach Department of Parks and Recreation,Stumpy Lake,"1,435"
"Riverside Parks, Recreation and Community Services Department",Sycamore Canyon Wilderness Park,"1,424"
San Antonio Parks and Recreation Department,Rancho Diana,"1,392"
Mecklenburg County Park and Recreation,Latta Plantation Nature Preserve,"1,351"
Irvine Community Services Department,Orange County Great Park,"1,347"
"Colorado Springs Parks, Recreation and Cultural Services",Garden of the Gods,"1,319"
Madison Parks Division,Conservation Park: Cherokee Marsh; Community Park: Elver,"1,299"
"St. Louis Department of Parks, Recreation and Forestry",Forest Park,"1,293"
Chicago Park District,Lincoln Park ,"1,216"
Baltimore City Department of Recreation and Parks,Gwynns Falls/Leakin Park,"1,200"
Glendale Parks and Recreation Department,Thunderbird Conservation Park,"1,185"
Columbus Recreation and Parks Department,Three Creeks,"1,156"
Detroit Recreation Department,Rouge Park,"1,100"
"Arlington, Texas, Parks and Recreation Department",River Legacy,"1,031"
