Natural and Designed Parkland by City														
"Total parkland includes city, county, metro, state and federal parkland within the city limits."														
Adjusted city area subtracts airport and railyard acreage from total city land area.														
"Designed areas are parklands that have been created, constructed, planted and managed primarily for human use. They include playgrounds, neighborhood parks, sports fields, plazas, boulevards, municipal golf courses, municipal cemeteries, and all areas served by roadways, parking lots and service buildings. "														
"Natural areas are either pristine or reclaimed lands that are open to the public and left largely undisturbed and managed for their ecological value (i.e., wetlands, forests, deserts). While they may have trails and occasional benches, they are not developed for any recreation activities beyond walking, running and cycling."														
														
City	City Area (acres)	Total population	Adjusted City Area (acres)	Percent Parkland	Total Parkland (acres)	Designed Parkland (acres)	Natural Parkland (acres)	Percent Designed Areas	Percent Natural Areas					
Hialeah	"13,728"	"231,941"	"13,666"	1.3%	175	175	0	100%	0%					
Newark	"15,480"	"277,727"	"14,054"	6.0%	847	847	0	100%	0%					
Detroit	"88,800"	"701,475"	"87,844"	6.7%	"5,921"	"5,890"	31	99%	1%					
Stockton	"39,469"	"297,984"	"38,918"	1.7%	674	649	25	96%	4%					
Baton Rouge	"49,246"	"230,058"	"48,353"	3.1%	"1,477"	"1,396"	81	95%	5%					
Minneapolis	"34,543"	"392,880"	"33,958"	14.9%	"5,055"	"4,760"	295	94%	6%					
Santa Ana	"17,453"	"330,920"	"17,453"	3.0%	515	479	36	93%	7%					
Fresno	"71,652"	"505,882"	"70,134"	2.2%	"1,573"	"1,442"	131	92%	8%					
St. Louis	"39,622"	"318,172"	"39,090"	9.4%	"3,684"	"3,152"	532	86%	14%					
Orlando	"65,533"	"249,562"	"54,494"	5.5%	"2,972"	"2,536"	436	85%	15%					
Seattle	"53,723"	"634,535"	"52,765"	10.5%	"5,546"	"4,709"	837	85%	15%					
Buffalo	"25,846"	"259,384"	"25,308"	7.5%	"1,903"	"1,609"	294	85%	15%					
Lubbock	"78,343"	"236,065"	"76,929"	2.9%	"2,224"	"1,873"	351	84%	16%					
Norfolk	"34,637"	"245,782"	"33,186"	1.8%	602	502	100	83%	17%					
Omaha	"81,337"	"421,570"	"78,087"	13.3%	"10,391"	"8,356"	"2,035"	80%	20%					
Lexington/Fayette	"181,536"	"305,489"	"180,899"	2.4%	"4,424"	"3,543"	881	80%	20%					
Irving	"42,891"	"225,427"	"37,060"	5.0%	"1,869"	"1,474"	395	79%	21%					
Chandler	"41,224"	"245,628"	"40,580"	3.8%	"1,528"	"1,192"	336	78%	22%					
Long Beach	"32,188"	"467,892"	"31,066"	10.0%	"3,121"	"2,406"	715	77%	23%					
Atlanta	"85,217"	"443,775"	"84,250"	5.2%	"4,418"	"3,290"	"1,128"	74%	26%					
Miami	"22,957"	"413,892"	"22,949"	5.1%	"1,180"	870	310	74%	26%					
Plano	"45,812"	"272,068"	"45,812"	9.3%	"4,243"	"2,931"	"1,312"	69%	31%					
Denver	"97,920"	"634,265"	"74,797"	7.9%	"5,900"	"4,000"	"1,900"	68%	32%					
Laredo	"56,901"	"244,731"	"55,391"	2.8%	"1,552"	"1,041"	511	67%	33%					
Mesa	"87,330"	"452,084"	"83,578"	2.7%	"2,281"	"1,505"	776	66%	34%					
Corpus Christi	"102,791"	"312,195"	"100,553"	2.1%	"2,147"	"1,401"	746	65%	35%					
Tucson	"145,094"	"524,295"	"144,488"	2.7%	"3,892"	"2,506"	"1,386"	64%	36%					
Baltimore	"51,804"	"621,342"	"51,318"	9.6%	"4,905"	"3,079"	"1,826"	63%	37%					
Fort Wayne	"70,796"	"254,555"	"69,318"	3.5%	"2,400"	"1,500"	900	63%	38%					
Garland	"36,534"	"233,564"	"36,520"	8.4%	"3,079"	"1,872"	"1,207"	61%	39%					
Fort Worth	"217,484"	"777,992"	"214,065"	5.5%	"11,667"	"6,959"	"4,708"	60%	40%					
Greensboro	"80,970"	"277,080"	"80,844"	7.7%	"6,202"	"3,695"	"2,507"	60%	40%					
Chula Vista	"31,764"	"252,422"	"31,764"	2.9%	907	533	374	59%	41%					
Chicago	"145,686"	"2,714,856"	"136,796"	9.1%	"12,485"	"7,086"	"5,399"	57%	43%					
