Oldest Park by City Agency		
Agency	Park	Date of Creation
Boston Parks and Recreation Department	Boston Common	1634
New Orleans Recreation Department	Jackson Square	1721
San Antonio Parks and Recreation Department	San Pedro Springs Park	1729
New York City Department of Parks and Recreation	Bowling Green	1733
"National Park Service (within Washington, D.C.)"	National Mall	1791
Cleveland Department of Public Works	Settlers Landing	1796
"St. Louis Department of Parks, Recreation and Forestry"	Gravois Park	1812
Memphis Division of Parks and Neighborhoods	Columbus Park	1819
Baltimore City Department of Recreation and Parks	Patterson Park	1827
Jersey City Division of Parks and Forestry	Van Vorst Park	1835
"Milwaukee County Department of Parks, Recreation and Culture (within Milwuakee city)"	Cathedral Square Park	1835
Chicago Park District	Grant Park	1837
San Francisco Recreation and Parks Department	Portsmouth Square	1847
Sacramento Department of Parks and Recreation	Sutter Land Grants	1849
St. Paul Parks and Recreation Department	Rice Park	1849
"Atlanta Department of Parks, Recreation and Cultural Affairs"	Oakland Cemetery	1850
Madison Parks Division	Orton	1850
New Orleans Department of Parks and Parkways	Jackson Square	1850
Columbus Recreation and Parks Department	Goodale Park	1851
Portland Parks and Recreation	Chapman	1852
"San Bernardino Parks, Recreation & Community Services"	Pioneer Park	1853
Corpus Christi Parks and Recreation Department	Artesian	1854
Cincinnati Park Board	Washington	1855
Philadelphia Parks and Recreation Department	East Fairmount Park	1855
Jacksonville Recreation and Community Services Department	Hemming Plaza	1857
Minneapolis Park and Recreation Board	Murphy Square	1857
El Paso Parks and Recreation Department	San Jacinto Plaza	1858
Fort Wayne Parks and Recreation Department	Old Fort 	1863
Los Angeles Department of Recreation and Parks	Pershing Square	1866
Lincoln Parks and Recreation Department	Cooper Park	1867
Denver Parks and Recreation	Mestizo Curtis Park 	1868
"San Jose Department of Parks, Recreation and Neighborhood Services"	Saint James Park	1868
Oakland Office of Parks and Recreation	DeFremery	1868
San Diego Park and Recreation Department	Pantoja Park	1870
"Colorado Springs Parks, Recreation and Cultural Services"	Acacia Park	1871
Detroit Recreation Department	Belle Isle	1872
"Omaha Department of Parks, Recreation and Public Property"	Hanscom Park	1872
Fort Worth Parks and Community Services Department	Hyde Park	1873
Indianapolis Department of Parks and Recreation	Garfield Park	1873
Austin Parks and Recreation Department	Pease	1876
Dallas Park and Recreation Department	City Park	1876
Buffalo Division of Parks and Recreation	Delaware	1878
"Long Beach Department of Parks, Recreation and Marine"	Lincoln	1880
Louisville Metro Parks	Baxter Square	1880
Stockton Public Works Department	Constitution	1880
"Kansas City, Mo. Parks and Recreation Department"	Drips Park	1882
Massachusetts Department of Conservation and Recreation (within Boston)	Marine Park	1883
"Riverside Parks, Recreation and Community Services Department"	White Park	1883
Seattle Parks and Recreation	Denny Park	1884
Wichita Park and Recreation Department	Hyde Park	1884
Honolulu Department of Parks and Recreation (within Urban Honolulu)	Thomas Square	1887
"Raleigh Parks, Recreation and Cultural Resources Department"	Pullen Park	1887
Pittsburgh Public Works	Highland Park	1889
Mecklenburg County Park and Recreation	Latta Park	1891
Winston-Salem Recreation and Parks	Washington Park	1892
