Parkland by City and Agency					
2013					
"Parkland includes city, county, metro, state, and federal parkland within city limits. See Report 7 for a list of agencies managing the most parkland outside city limits."					
City	Land Area (Acres)	Population	Agency	Parkland Within City Limits (acres)	
"Albuquerque, New Mexico"	"120,147"	"555,417"			"27,373"
			Albuquerque Parks and Recreation Department	"21,575"	
			National Park Service (within Albuquerque)	"5,164"	
			Bernalillo County Parks and Recreation Department (within Albuquerque)	634	
					
"Anaheim, California"	"31,895"	"343,248"			853
			Anaheim Community Services Department	458	
			Orange County Parks (within Anaheim)	395	
					
"Anchorage, Alaska"	"1,090,997"	"298,610"			"501,785"
			Chugach State Park (within Anchorage)	"490,125"	
			Anchorage Parks and Recreation Department	"11,660"	
					
"Arlington, Texas"	"61,364"	"375,600"			"4,709"
			Arlington Parks and Recreation Department	"4,709"	
					
"Arlington, Virginia"	"16,623"	"221,045"			"2,042"
			Arlington County Department of Parks and Recreation	960	
			National Park Service (within Arlington)	947	
			Northern Virginia Regional Park Authority (within Arlington)	135	
					
"Atlanta, Georgia"	"85,217"	"443,775"			"4,418"
			"Atlanta Department of Parks, Recreation and Cultural Affairs"	"4,358"	
			National Park Service (within Atlanta)	39	
			Centennial Olympic Park	21	
					
"Aurora, Colorado"	"99,030"	"339,030"			"10,276"
			"Aurora Parks, Recreation and Open Space"	"10,276"	
					
"Austin, Texas"	"190,653"	"842,592"			"27,398"
			Austin Parks and Recreation Department	"19,171"	
			"Austin Water Utility, Wildland Conservation Division"	"7,105"	
			Texas Parks and Wildlife Department (within Austin)	725	
			Travis County Parks (within Austin)	397	
					
"Bakersfield, California"	"90,985"	"358,597"			"5,335"
			Bakersfield Recreation and Parks Department	"4,960"	
			Kern County Parks and Recreation Department (within Bakersfield)	197	
			North of the River Recreation and Park District (within Bakersfield)	178	
					
"Baltimore, Maryland"	"51,804"	"621,342"			"4,905"
			Baltimore City Department of Recreation and Parks	"4,862"	
			National Park Service (within Baltimore)	43	
					
"Baton Rouge, Louisiana"	"49,246"	"230,058"			"1,477"
			E. Baton Rouge Parish Recreation and Park Commission (within Baton Rouge)	"1,477"	
					
"Boise, Idaho"	"50,793"	"212,303"			"2,775"
			Boise Parks and Recreation	"2,775"	
					
"Boston, Massachusetts"	"30,897"	"636,479"			"4,916"
			Massachusetts Department of Conservation and Recreation (within Boston)	"2,807"	
			Boston Parks and Recreation Department	"1,935"	
			Boston Conservation Commission	106	
			National Park Service (within Boston)	35	
			Massachusetts Port Authority (within Boston)	33	
					
"Buffalo, New York"	"25,846"	"259,384"			"1,903"
			Buffalo Division of Parks and Recreation	"1,842"	
			"Erie County Department of Parks, Recreation and Forestry (within Buffalo)"	60	
			National Park Service (within Buffalo)	1	
					
"Chandler, Arizona"	"41,224"	"245,628"			"1,528"
			Chandler Community Services Department	"1,528"	
					
"Charlotte/Mecklenburg, North Carolina"	"335,259"	"969,031"			"20,472"
			Mecklenburg County Park and Recreation	"20,472"	
					
"Chesapeake, Virginia"	"218,112"	"228,417"			"56,359"
			Great Dismal Swamp National Wildlife Refuge (within Chesapeake)	"49,246"	
			Virginia Department of Game and Inland Fisheries (within Chesapeake)	"4,558"	
			Chesapeake Parks and Recreation Department	"2,555"	
					
"Chicago, Illinois"	"145,686"	"2,714,856"			"12,485"
			Chicago Park District	"8,341"	
			Forest Preserve District of Cook County (within Chicago)	"3,089"	
			Illinois Department of Natural Resources (within Chicago)	613	
			Illinois International Port District (within Chicago)	442	
					
"Chula Vista, California"	"31,764"	"252,422"			907
			Chula Vista Public Works Department	603	
			San Diego Bay National Wildlife Refuge Complex (within Chula Vista)	180	
			San Diego County Parks and Recreation (within Chula Vista)	124	
					
"Cincinnati, Ohio"	"49,883"	"296,550"			"6,821"
			Cincinnati Park Board	"4,909"	
			Cincinnati Recreation Commission	"1,444"	
			Great Parks of Hamilton County (within Cincinnati)	465	
			National Park Service (within Cincinnati)	3	
					
"Cleveland, Ohio"	"49,726"	"390,928"			"3,068"
			Cleveland Metroparks (within Cleveland)	"1,574"	
			Cleveland Department of Public Works	"1,494"	
					
"Colorado Springs, Colorado"	"124,506"	"431,834"			"11,157"
			"Colorado Springs Parks, Recreation and Cultural Services"	"9,180"	
			Colorado Parks and Wildlife (within Colorado Springs)	"1,407"	
			El Paso County Parks (within Colorado Springs)	570	
					
"Columbus, Ohio"	"138,988"	"809,798"			"10,861"
			Columbus Recreation and Parks Department	"7,903"	
			Columbus and Franklin County Metro Park District (within Columbus)	"2,958"	
					
"Corpus Christi, Texas"	"102,791"	"312,195"			"2,147"
			Corpus Christi Parks and Recreation Department	"1,847"	
			Nueces County Coastal Parks (within Corpus Christi)	300	
					
"Dallas, Texas"	"217,932"	"1,241,162"			"23,331"
			Dallas Park and Recreation Department	"23,331"	
					
"Denver, Colorado"	"97,920"	"634,265"			"5,900"
			Denver Parks and Recreation Department	"5,900"	
					
"Detroit, Michigan"	"88,800"	"701,475"			"5,921"
			Detroit Recreation Department	"5,890"	
			William G. Milliken State Park and Harbor	31	
					
"Durham, North Carolina"	"68,717"	"239,358"			"2,555"
			Durham Parks and Recreation Department	"1,855"	
			Eno River State Park (within Durham)	700	
					
"El Paso, Texas"	"163,351"	"672,538"			"28,759"
			Texas Parks and Wildlife Department (within El Paso)	"25,809"	
			El Paso Parks and Recreation Department	"2,456"	
