Parkland as Percentage of Adjusted City Area,,,,,,
2013,,,,,,
"Total parkland includes city, county, metro, state and federal parkland within the city limits.",,,,,,
Adjusted city area subtracts airport and railyard acreage from total city land area.,,,,,,
City,City Area (acres),Total population,Adjusted City Area (acres),Total Parkland (acres),Percent Parkland,
HIGH-DENSITY CITIES,,,,,,
"Washington, D.C.","39,071","632,323","38,955","8,513",21.9%,
New York,"193,692","8,336,697","187,946","38,606",20.5%,
San Francisco,"29,999","825,863","29,980","5,685",19.0%,
Oakland,"35,703","400,740","33,181","6,063",18.3%,
Jersey City,"9,468","254,441","9,261","1,660",17.9%,
Boston,"30,897","636,479","29,175","4,916",16.9%,
Minneapolis,"34,543","392,880","33,958","5,055",14.9%,
Philadelphia,"85,825","1,547,607","82,913","11,211",13.5%,
Los Angeles,"299,949","3,857,799","295,015","36,112",12.2%,
"Arlington, Virginia","16,623","221,045","15,878","1,795",11.3%,
Seattle,"53,723","634,535","52,765","5,546",10.5%,
Long Beach,"32,188","467,892","31,066","3,121",10.0%,
Baltimore,"51,804","621,342","51,318","4,905",9.6%,
Chicago,"145,686","2,714,856","136,796","12,485",9.1%,
Newark,"15,480","277,727","14,054",847,6.0%,
Miami,"22,957","413,892","22,949","1,180",5.1%,
Santa Ana,"17,453","330,920","17,453",515,3.0%,
Hialeah,"13,728","231,941","13,666",175,1.3%,
,,,,,"Median, High-Density Cities:",11.8%
MEDIUM-HIGH-DENSITY CITIES,,,,,,
Honolulu,"38,720","345,610","36,329","12,006",33.0%,
Portland,"85,393","603,106","81,625","14,204",17.4%,
St. Paul,"33,266","290,770","32,363","4,965",15.3%,
San Jose,"112,977","982,765","111,953","16,463",14.7%,
Milwaukee,"61,518","598,916","59,126","6,280",10.6%,
St. Louis,"39,622","318,172","39,090","3,684",9.4%,
Pittsburgh,"35,435","306,211","35,349","3,122",8.8%,
Denver,"97,920","634,265","74,797","5,900",7.9%,
Cleveland,"49,726","390,928","46,880","3,068",6.5%,
