	City Population Density										
	City	2012 Population	Land Area (acres)	Density for non-adjusted Land Area	Non-Adjusted Density Category	Airport Areas (acres)	Railyard Areas (acres)	Combined Airport and Railyard Area (acres)	Adjusted Land Area	People per Acre	
High-Density Cities											
	New York	"8,336,697"	"193,692"	43.04	High	"5,151"	595	"5,746"	"187,946"	44.36	
	San Francisco	"825,863"	"29,999"	27.53	High	0	19	19	"29,980"	27.55	
	Jersey City	"254,441"	"9,468"	26.87	High	0	207	207	"9,261"	27.47	
	Boston	"636,479"	"30,897"	20.60	High	"1,503"	219	"1,722"	"29,175"	21.82	
	Chicago	"2,714,856"	"145,686"	18.63	High	"6,628"	"2,262"	"8,890"	"136,796"	19.85	
	Newark	"277,727"	"15,480"	17.94	High	"1,119"	307	"1,426"	"14,054"	19.76	
	Santa Ana	"330,920"	"17,453"	18.96	High	0	0	0	"17,453"	18.96	
	Philadelphia	"1,547,607"	"85,825"	18.03	High	"1,955"	957	"2,912"	"82,913"	18.67	
	Miami	"413,892"	"22,957"	18.03	High	0	8	8	"22,949"	18.04	
	Hialeah	"231,941"	"13,728"	16.90	High	0	62	62	"13,666"	16.97	
	"Washington, D.C."	"632,323"	"39,071"	16.18	High	0	116	116	"38,955"	16.23	
	Long Beach	"467,892"	"32,188"	14.54	High	"1,067"	55	"1,122"	"31,066"	15.06	
	"Arlington, Virginia"	"221,045"	"16,623"	13.30	High	745	0	745	"15,878"	13.92	
	Los Angeles	"3,857,799"	"299,949"	12.86	High	"4,485"	434	"4,919"	"295,030"	13.08	
	Baltimore	"621,342"	"51,804"	11.99	High	0	486	486	"51,318"	12.11	
	Oakland	"400,740"	"35,703"	11.22	High	"2,307"	215	"2,522"	"33,181"	12.08	
	Seattle	"634,535"	"53,723"	11.81	High	471	487	958	"52,765"	12.03	
	Minneapolis	"392,880"	"34,543"	11.37	High	0	585	585	"33,958"	11.57	
									"Median, High-Density Cities"	17.50	
Intermediate-High-Density Cities											
	Anaheim	"343,248"	"31,895"	10.76	High	0	5	5	"31,890"	10.76	
	Buffalo	"259,384"	"25,846"	10.04	Intermediate-High	0	538	538	"25,308"	10.25	
	Milwaukee (city)	"598,916"	"61,518"	9.74	Intermediate-High	"2,176"	216	"2,392"	"59,126"	10.13	
	Honolulu (urban)	"345,610"	"38,720"	8.93	Intermediate-High	"2,391"	0	"2,391"	"36,329"	9.51	
