"Employees Per 10,000 Residents by City Agency"						
						
2013						
"Employees are full-time and part-time employees, counted as Full-Time Equivalent (FTE); seasonal staff are not counted. Italics indicate estimates based on past-year data. Note that Boston, Cincinnati, New Orleans, and Washington, D.C. have two major city park agencies."						
Agency	Population	Fiscal Year	"Regular, Non-Seasonal Employees"	"Employees per 10,000 Residents"		
St. Petersburg Parks & Recreation Department	"246,541"	2012      	389	15.8		
Seattle Parks and Recreation	"634,535"	2012      	951	15.0		
Virginia Beach Department of Parks and Recreation	"447,021"	2012      	655	14.7		
Irvine Community Services Department	"229,985"	2013      	321	14.0		
"National Park Service (within Washington, D.C.)"	"632,323"	2012      	861	13.6		
Tampa Parks and Recreation Department	"347,645"	2012      	463	13.3		
Miami Department of Parks and Recreation	"413,892"	2011      	505	12.2		
Minneapolis Park and Recreation Board	"392,880"	2012      	475	12.1		
Scottsdale Parks and Recreation Division	"223,514"	2013      	262	11.7		
St. Paul Parks and Recreation Department	"290,770"	2012      	335	11.5		
Arlington County Department of Parks and Recreation	"221,045"	2012      	249	11.3		
Plano Parks and Recreation Department	"272,068"	2012      	297	10.9		
Chicago Park District	"2,714,856"	2012      	"2,924"	10.8		
"Raleigh Parks, Recreation and Cultural Resources Department"	"423,179"	2012      	428	10.1		
Cleveland Department of Public Works -- Parks Division	"390,928"	2012      	377	9.6		
"Norfolk Department of Recreation, Parks and Open Space"	"245,782"	2012      	236	9.6		
Chandler Community Services Department	"245,628"	2010	223	9.1		
North Las Vegas Parks and Recreation Department	"223,491"	2010	201	9.0		
San Francisco Recreation and Parks Department	"825,863"	2013      	726	8.8		
Pittsburgh Public Works -- Parks Division	"306,211"	2012      	260	8.5		
"Atlanta Department of Parks, Recreation and Cultural Affairs"	"443,775"	2012      	367	8.3		
Chesapeake Parks and Recreation Department	"228,417"	2012      	186	8.1		
Anaheim Community Services Department	"343,248"	2013      	271	7.9		
Greensboro Parks and Recreation Department	"277,080"	2012      	214	7.7		
"Orlando Families, Parks and Recreation Department"	"249,562"	2012      	190	7.6		
"St. Louis Department of Parks, Recreation and Forestry"	"318,172"	2013      	227	7.1		
Denver Parks and Recreation	"634,265"	2012      	444	7.0		
Dallas Park and Recreation Department	"1,241,162"	2012      	856	6.9		
Portland Parks and Recreation	"603,106"	2012      	411	6.8		
Henderson Parks and Recreation Department	"265,679"	2013      	179	6.7		
E. Baton Rouge Parish Recreation and Park Commission	"230,058"	2010	152	6.6		
Austin Parks and Recreation Department	"842,592"	2012      	547	6.5		
Madison Parks Division	"240,323"	2012      	154	6.4		
Corpus Christi Parks and Recreation Department	"312,195"	2012	200	6.4		
"Aurora Parks, Recreation and Open Space"	"339,030"	2012      	214	6.3		
"Kansas City, Mo. Parks and Recreation Department"	"464,310"	2013      	292	6.3		
District of Columbia Department of Parks and Recreation	"632,323"	2012      	396	6.3		
"Riverside Parks, Recreation and Community Services Department"	"313,673"	2012      	196	6.2		
Tucson Parks and Recreation Department	"524,295"	2012      	322	6.1		
Oakland Office of Parks and Recreation	"400,740"	2013      	241	6.0		
New York City Department of Parks and Recreation	"8,336,697"	2013      	"4,902"	5.9		
Nashville/Davidson Metropolitan Board of Parks and Recreation	"648,295"	2012      	380	5.9		
Garland Parks and Recreation Department	"233,564"	2010	136	5.8		
