Total Spending on Parks and Recreation Per Resident by City,,,,,,,,,
,,,,,,,,,
Most Recently Reported Fiscal Year,,,,,,,,,
"Total Spending includes both operating and capital spending by all park agencies in the city, but excludes professional stadiums, zoos, museums, aquariums, and cemeteries. If a city has more than one agency, expenditures are combined. Italics indicate cities whose spending is estimated based on past-year information.",,,,,,,,,
,,,,,,,,,
City,Fiscal Year of Primary Agency,Population,Total Expenditure,Operating Expenditure,Operating Expenditure per Resident,Capital Expenditure,Capital Expenditure per Resident,Total Expenditure per Resident,Notes
"Washington, D.C.",Note A,"632,323","$181,652,731","$156,421,315",$247,"$25,231,416",$40,$287,
"Arlington, Virginia",2012,"221,045","$56,293,049","$33,692,761",$152,"$22,600,288",$102,$255,
St. Paul,2012,"290,770","$72,740,719","$49,121,597",$169,"$23,619,122",$81,$250,
Seattle,2012,"634,535","$151,654,071","$101,855,898",$161,"$49,798,173",$78,$239,
Henderson,2013,"265,679","$58,870,054","$34,654,472",$130,"$24,215,582",$91,$222,
Minneapolis,2012,"392,880","$83,919,688","$69,050,145",$176,"$14,869,543",$38,$214,
San Francisco,2013,"825,863","$169,267,342","$136,151,869",$165,"$33,115,473",$40,$205,
Sacramento,2013,"475,516","$96,634,663","$42,852,013",$90,"$53,782,650",$113,$203,
Irvine,2013,"229,985","$45,228,351","$32,228,351",$140,"$13,000,000",$57,$197,
Long Beach,2012,"467,892","$90,307,475","$53,904,435",$115,"$36,403,040",$78,$193,
New York,2013,"8,336,697","$1,574,058,534","$991,967,943",$119,"$582,090,591",$70,$189,
Cincinnati,Note B,"296,550","$53,412,724","$38,911,596",$131,"$14,501,128",$49,$180,
Raleigh,2012,"423,179","$72,772,735","$41,099,286",$97,"$31,673,449",$75,$172,
Chicago,2013,"2,714,856","$460,953,040","$355,222,810",$131,"$105,730,230",$39,$170,
Virginia Beach,2012,"447,021","$75,871,300","$54,014,355",$121,"$21,856,945",$49,$170,
Oakland,2013,"400,740","$59,161,320","$43,150,040",$108,"$16,011,280",$40,$148,
